Referans,2023 Liste Fiyatı,Para Birimi
50171,5032,TL
50172,4624,TL
50183,4352,TL
16003,1632,TL
16004,1632,TL
16005,1632,TL
16017,2414,TL
16018,2414,TL
50159,36040,TL
50169,306,TL
15440,1428,TL
15201,2856,TL
BLRCS017A020B40,1258,TL
METSEPM2230,8466,TL
METSECT5DC300,3383,TL
METSECT5GG030,6222,TL
METSECT5MD060,1241,TL
LVR05065A40LO,6970,TL
LVR07065A40LO,7140,TL
LVR14065A40LO,8840,TL
LVR14125A40LO,9384,TL
PAS600,19040,TL
PAS600L,19040,TL
PAS600T,18360,TL
PAS800,32980,TL
PAS800L,31620,TL
PAS800P,32980,TL
METSEPM2K2DI2RO,2533,TL
A9MEM3555,10506,TL
A9MEM3150,8058,TL
METSEPM5560,26656,TL
CBL016,2448,TL
A9MEM2100,4420,TL
15608,2380,TL
A9MEM2000,4080,TL
E50H5A,26078,TL
E683D502,5270,TL
LVCT00102S,7140,TL
BLRCH125A150B60,7140,TL
BLRCH250A300B52,6970,TL
METSEPM1130HCL05RS,5712,TL
METSEPM2220,7786,TL
A9MEM1580,9588,TL
A9MEM1590,18768,TL
A9MEM1591,20434,TL
A9MEM1592,21012,TL
A9MEM1593,22508,TL
LVR07050A40LO,6698,TL
LVR07100A40LO,7378,TL
LVR07125A40LO,8126,TL
LVR07150A40LO,8534,TL
LVR07200A40LO,9078,TL
LVR07250A40LO,11220,TL
LVR07500A40LO,13124,TL
LVR07750A40LO,20264,TL
LVR07X00A40LO,21930,TL
LVR05050A40LO,6324,TL
LVR05100A40LO,7004,TL
LVR05125A40LO,7650,TL
LVR05150A40LO,8160,TL
LVR05200A40LO,8636,TL
LVR05250A40LO,10744,TL
LVR05500A40LO,12648,TL
LVR05X00A40LO,20978,TL
LVR14100A40LO,9078,TL
LVR14150A40LO,9928,TL
LVR14200A40LO,10778,TL
LVR14250A40LO,13838,TL
LVR14500A40LO,18360,TL
LVR14X00A40LO,28492,TL
BLRCS200A240B52,4862,TL
METSECTV29020,2720,TL
BLRCH200A240B40,4488,TL
METSEPM8210,69700,TL
A9MEM1574,8500,TL
BCPMSCE84S,137700,TL
METSECT5GA010,3842,TL
METSECT5GA015,3842,TL
METSECT5GA020,3842,TL
METSECT5GA025,3842,TL
METSECT5GA030,3842,TL
METSECT5GA040,4930,TL
METSECT5GD025,3978,TL
METSECT5GD030,3978,TL
METSECT5GD040,4556,TL
METSECT5GD050,4556,TL
METSECT5GD060,4556,TL
METSECT5GD075,4556,TL
METSECT5GD080,4556,TL
METSECT5GD100,4556,TL
METSECT5GG025,6222,TL
METSECT5GG040,6222,TL
METSECT5GG050,6222,TL
METSECT5GG060,6222,TL
METSECT5GG075,6222,TL
METSECT5GG080,6222,TL
METSECT5GG100,6222,TL
METSECT5GG120,6222,TL
METSECT5GG125,6222,TL
METSECT5GG150,6222,TL
METSECT5GJ100,7854,TL
METSECT5GJ120,7854,TL
METSECT5GJ150,7854,TL
METSECT5GJ160,7854,TL
METSECT5GJ200,7854,TL
METSECT5GJ250,7854,TL
METSECT5GJ300,7854,TL
METSECT5GJ400,7854,TL
METSECT5HA015,3111,TL
METSECT5HA020,3111,TL
METSECT5HA025,3111,TL
METSECT5HD025,3111,TL
METSECT5HD030,3111,TL
METSECT5HD040,3111,TL
METSECT5HD050,3570,TL
METSECT5HG010,3400,TL
METSECT5HG013,3400,TL
METSECT5HG015,3400,TL
METSECT5HG020,3400,TL
METSECT5HG025,3400,TL
METSECT5HG030,3400,TL
METSECT5HG040,3400,TL
METSECT5HG050,3400,TL
METSECT5HG060,3400,TL
METSECT5HJ030,3570,TL
METSECT5HJ040,3570,TL
METSECT5HJ050,3570,TL
METSECT5HJ060,3876,TL
METSECT5HJ075,3876,TL
METSECT5HJ080,3876,TL
METSECT5HM030,4148,TL
METSECT5HM040,4148,TL
METSECT5HM050,4148,TL
METSECT5HM060,4454,TL
METSECT5HM075,4454,TL
METSECT5HM080,4454,TL
METSECT5HP025,4080,TL
METSECT5HP030,4080,TL
METSECT5HP040,4080,TL
METSECT5HP050,4080,TL
METSECT5HP060,4080,TL
METSECT5HP075,4080,TL
METSECT5HP080,4080,TL
METSECT5HP100,4080,TL
METSECTV25006,2448,TL
METSECTV25010,2482,TL
METSECTV25013,2516,TL
METSECTV25016,2550,TL
METSECTV29006,2584,TL
METSECTV29010,2601,TL
METSECTV29012,2618,TL
METSECTV29013,2652,TL
METSECTV29015,2669,TL
METSECTV29016,2703,TL
METSECTV35006,2771,TL
METSECTV35010,2788,TL
METSECTV35012,2822,TL
METSECTV35013,2839,TL
METSECTV35016,2873,TL
METSECTV35020,2907,TL
METSECTV35025,2941,TL
METSECTV45025,2941,TL
METSECTV45030,2975,TL
METSECTV45040,2992,TL
METSECTV45050,3009,TL
METSECTV45060,3043,TL
METSECTV45063,3060,TL
METSECTV70080,3944,TL
METSECTV70100,3978,TL
METSECTV70125,4012,TL
METSECTV70160,4080,TL
METSEPM5580,28050,TL
METSEPM5660,28900,TL
METSEPM5760,35734,TL
METSEPM5570,26826,TL
IMDIFL12L,25976,TL
IMDIFL12LMC,41616,TL
IMDIFL12LMCT,72012,TL
IMDIFL12MCT,72216,TL
