ListeFiyatları
Referans,2023 Liste Fiyatı,Para Birimi
50171,"5,032",TL
50172,"4,624",TL
50183,"4,352",TL
16003,"1,632",TL
16004,"1,632",TL
16005,"1,632",TL
16017,"2,414",TL
16018,"2,414",TL
50159,"36,040",TL
50169,306,TL
15440,"1,428",TL
15201,"2,856",TL
BLRCS017A020B40,"1,258",TL
METSEPM2230,"8,466",TL
METSECT5DC300,"3,383",TL
METSECT5GG030,"6,222",TL
METSECT5MD060,"1,241",TL
LVR05065A40LO,"6,970",TL
LVR07065A40LO,"7,140",TL
LVR14065A40LO,"8,840",TL
LVR14125A40LO,"9,384",TL
PAS600,"19,040",TL
PAS600L,"19,040",TL
PAS600T,"18,360",TL
PAS800,"32,980",TL
PAS800L,"31,620",TL
PAS800P,"32,980",TL
METSEPM2K2DI2RO,"2,533",TL
A9MEM3555,"10,506",TL
A9MEM3150,"8,058",TL
METSEPM5560,"26,656",TL
CBL016,"2,448",TL
A9MEM2100,"4,420",TL
15608,"2,380",TL
A9MEM2000,"4,080",TL
E50H5A,"26,078",TL
E683D502,"5,270",TL
LVCT00102S,"7,140",TL
BLRCH125A150B60,"7,140",TL
BLRCH250A300B52,"6,970",TL
METSEPM1130HCL05RS,"5,712",TL
METSEPM2220,"7,786",TL
A9MEM1580,"9,588",TL
A9MEM1590,"18,768",TL
A9MEM1591,"20,434",TL
A9MEM1592,"21,012",TL
A9MEM1593,"22,508",TL
LVR07050A40LO,"6,698",TL
LVR07100A40LO,"7,378",TL
LVR07125A40LO,"8,126",TL
LVR07150A40LO,"8,534",TL
LVR07200A40LO,"9,078",TL
LVR07250A40LO,"11,220",TL
LVR07500A40LO,"13,124",TL
LVR07750A40LO,"20,264",TL
LVR07X00A40LO,"21,930",TL
LVR05050A40LO,"6,324",TL
LVR05100A40LO,"7,004",TL
LVR05125A40LO,"7,650",TL
LVR05150A40LO,"8,160",TL
LVR05200A40LO,"8,636",TL
LVR05250A40LO,"10,744",TL
LVR05500A40LO,"12,648",TL
LVR05X00A40LO,"20,978",TL
LVR14100A40LO,"9,078",TL
LVR14150A40LO,"9,928",TL
LVR14200A40LO,"10,778",TL
LVR14250A40LO,"13,838",TL
LVR14500A40LO,"18,360",TL
LVR14X00A40LO,"28,492",TL
BLRCS200A240B52,"4,862",TL
METSECTV29020,"2,720",TL
BLRCH200A240B40,"4,488",TL
METSEPM8210,"69,700",TL
A9MEM1574,"8,500",TL
BCPMSCE84S,"137,700",TL
METSECT5GA010,"3,842",TL
METSECT5GA015,"3,842",TL
METSECT5GA020,"3,842",TL
METSECT5GA025,"3,842",TL
METSECT5GA030,"3,842",TL
METSECT5GA040,"4,930",TL
METSECT5GD025,"3,978",TL
METSECT5GD030,"3,978",TL
METSECT5GD040,"4,556",TL
METSECT5GD050,"4,556",TL
METSECT5GD060,"4,556",TL
METSECT5GD075,"4,556",TL
METSECT5GD080,"4,556",TL
METSECT5GD100,"4,556",TL
METSECT5GG025,"6,222",TL
METSECT5GG040,"6,222",TL
METSECT5GG050,"6,222",TL
METSECT5GG060,"6,222",TL
METSECT5GG075,"6,222",TL
METSECT5GG080,"6,222",TL
METSECT5GG100,"6,222",TL
METSECT5GG120,"6,222",TL
METSECT5GG125,"6,222",TL
METSECT5GG150,"6,222",TL
METSECT5GJ100,"7,854",TL
METSECT5GJ120,"7,854",TL
METSECT5GJ150,"7,854",TL
METSECT5GJ160,"7,854",TL
METSECT5GJ200,"7,854",TL
METSECT5GJ250,"7,854",TL
METSECT5GJ300,"7,854",TL
METSECT5GJ400,"7,854",TL
METSECT5HA015,"3,111",TL
METSECT5HA020,"3,111",TL
METSECT5HA025,"3,111",TL
METSECT5HD025,"3,111",TL
METSECT5HD030,"3,111",TL
METSECT5HD040,"3,111",TL
METSECT5HD050,"3,570",TL
METSECT5HG010,"3,400",TL
METSECT5HG013,"3,400",TL
METSECT5HG015,"3,400",TL
METSECT5HG020,"3,400",TL
METSECT5HG025,"3,400",TL
METSECT5HG030,"3,400",TL
METSECT5HG040,"3,400",TL
METSECT5HG050,"3,400",TL
METSECT5HG060,"3,400",TL
METSECT5HJ030,"3,570",TL
METSECT5HJ040,"3,570",TL
METSECT5HJ050,"3,570",TL
METSECT5HJ060,"3,876",TL
METSECT5HJ075,"3,876",TL
METSECT5HJ080,"3,876",TL
METSECT5HM030,"4,148",TL
METSECT5HM040,"4,148",TL
METSECT5HM050,"4,148",TL
METSECT5HM060,"4,454",TL
METSECT5HM075,"4,454",TL
METSECT5HM080,"4,454",TL
METSECT5HP025,"4,080",TL
METSECT5HP030,"4,080",TL
METSECT5HP040,"4,080",TL
METSECT5HP050,"4,080",TL
METSECT5HP060,"4,080",TL
METSECT5HP075,"4,080",TL
METSECT5HP080,"4,080",TL
METSECT5HP100,"4,080",TL
METSECTV25006,"2,448",TL
METSECTV25010,"2,482",TL
METSECTV25013,"2,516",TL
METSECTV25016,"2,550",TL
METSECTV29006,"2,584",TL
METSECTV29010,"2,601",TL
METSECTV29012,"2,618",TL
METSECTV29013,"2,652",TL
METSECTV29015,"2,669",TL
METSECTV29016,"2,703",TL
METSECTV35006,"2,771",TL
METSECTV35010,"2,788",TL
